description,proteins,fats,carbohydrates,calories,answer
kraft breakstone's reduced fat sour cream,4.5,12.0,6.5,152.0,"{""proteins"": 4.5, ""fats"": 12.0, ""carbohydrates"": 6.5, ""calories"": 152.0}"
kraft breakstone's free fat free sour cream,4.7,1.3,15.1,91.0,"{""proteins"": 4.7, ""fats"": 1.3, ""carbohydrates"": 15.1, ""calories"": 91.0}"
cream half and half fat free,2.6,1.4,9.0,59.0,"{""proteins"": 2.6, ""fats"": 1.4, ""carbohydrates"": 9.0, ""calories"": 59.0}"
reddi wip fat free whipped topping,3.0,5.0,25.0,149.0,"{""proteins"": 3.0, ""fats"": 5.0, ""carbohydrates"": 25.0, ""calories"": 149.0}"
milk chocolate fluid commercial reduced fat with added calcium,2.99,1.9,12.13,78.0,"{""proteins"": 2.99, ""fats"": 1.9, ""carbohydrates"": 12.13, ""calories"": 78.0}"
yogurt fruit lowfat with low calorie sweetener,4.86,1.41,18.6,105.0,"{""proteins"": 4.86, ""fats"": 1.41, ""carbohydrates"": 18.6, ""calories"": 105.0}"
cheese parmesan dry grated reduced fat,20.0,20.0,1.37,265.0,"{""proteins"": 20.0, ""fats"": 20.0, ""carbohydrates"": 1.37, ""calories"": 265.0}"
cream substitute flavored liquid,0.69,13.5,35.07,251.0,"{""proteins"": 0.69, ""fats"": 13.5, ""carbohydrates"": 35.07, ""calories"": 251.0}"
cream substitute flavored powdered,0.68,21.47,75.42,482.0,"{""proteins"": 0.68, ""fats"": 21.47, ""carbohydrates"": 75.42, ""calories"": 482.0}"
cheese provolone reduced fat,24.7,17.6,3.5,274.0,"{""proteins"": 24.7, ""fats"": 17.6, ""carbohydrates"": 3.5, ""calories"": 274.0}"
cheese mexican blend reduced fat,24.69,19.4,3.41,282.0,"{""proteins"": 24.69, ""fats"": 19.4, ""carbohydrates"": 3.41, ""calories"": 282.0}"
egg mix usda commodity,35.6,34.5,23.97,555.0,"{""proteins"": 35.6, ""fats"": 34.5, ""carbohydrates"": 23.97, ""calories"": 555.0}"
milk whole 3.25% milkfat without added vitamin a and vitamin d,3.15,3.27,4.78,61.0,"{""proteins"": 3.15, ""fats"": 3.27, ""carbohydrates"": 4.78, ""calories"": 61.0}"
milk dry whole without added vitamin d,26.32,26.71,38.42,496.0,"{""proteins"": 26.32, ""fats"": 26.71, ""carbohydrates"": 38.42, ""calories"": 496.0}"
milk canned evaporated without added vitamin a and vitamin d,6.81,7.56,10.04,135.0,"{""proteins"": 6.81, ""fats"": 7.56, ""carbohydrates"": 10.04, ""calories"": 135.0}"
cheese product pasteurized process american reduced fat fortified with vitamin d,17.6,14.1,10.6,240.0,"{""proteins"": 17.6, ""fats"": 14.1, ""carbohydrates"": 10.6, ""calories"": 240.0}"
yogurt fruit low fat 9 grams protein per 8 ounce fortified with vitamin d,3.98,1.15,18.64,99.0,"{""proteins"": 3.98, ""fats"": 1.15, ""carbohydrates"": 18.64, ""calories"": 99.0}"
yogurt fruit low fat 10 grams protein per 8 ounce fortified with vitamin d,4.37,1.08,19.05,102.0,"{""proteins"": 4.37, ""fats"": 1.08, ""carbohydrates"": 19.05, ""calories"": 102.0}"
yogurt fruit variety nonfat fortified with vitamin d,4.4,0.2,19.0,95.0,"{""proteins"": 4.4, ""fats"": 0.2, ""carbohydrates"": 19.0, ""calories"": 95.0}"
yogurt fruit lowfat with low calorie sweetener fortified with vitamin d,4.86,1.41,18.6,105.0,"{""proteins"": 4.86, ""fats"": 1.41, ""carbohydrates"": 18.6, ""calories"": 105.0}"
yogurt vanilla low fat 11 grams protein per 8 ounce fortified with vitamin d,4.93,1.25,13.8,85.0,"{""proteins"": 4.93, ""fats"": 1.25, ""carbohydrates"": 13.8, ""calories"": 85.0}"
yogurt vanilla or lemon flavor nonfat milk sweetened with low-calorie sweetener fortified with vitamin d,3.86,0.18,7.5,43.0,"{""proteins"": 3.86, ""fats"": 0.18, ""carbohydrates"": 7.5, ""calories"": 43.0}"
yogurt chocolate nonfat milk fortified with vitamin d,3.53,0.0,23.53,112.0,"{""proteins"": 3.53, ""fats"": 0.0, ""carbohydrates"": 23.53, ""calories"": 112.0}"
protein supplement milk based muscle milk powder,45.71,17.14,18.5,411.0,"{""proteins"": 45.71, ""fats"": 17.14, ""carbohydrates"": 18.5, ""calories"": 411.0}"
protein supplement milk based muscle milk light powder,50.0,12.0,22.0,396.0,"{""proteins"": 50.0, ""fats"": 12.0, ""carbohydrates"": 22.0, ""calories"": 396.0}"
dulce de leche,6.84,7.35,55.35,315.0,"{""proteins"": 6.84, ""fats"": 7.35, ""carbohydrates"": 55.35, ""calories"": 315.0}"
egg substitute liquid or frozen fat free,10.0,0.0,2.0,48.0,"{""proteins"": 10.0, ""fats"": 0.0, ""carbohydrates"": 2.0, ""calories"": 48.0}"
cheese dry white queso seco,24.51,24.35,2.04,325.0,"{""proteins"": 24.51, ""fats"": 24.35, ""carbohydrates"": 2.04, ""calories"": 325.0}"
cheese fresh queso fresco,18.09,23.82,2.98,299.0,"{""proteins"": 18.09, ""fats"": 23.82, ""carbohydrates"": 2.98, ""calories"": 299.0}"
cheese white queso blanco,20.38,24.31,2.53,310.0,"{""proteins"": 20.38, ""fats"": 24.31, ""carbohydrates"": 2.53, ""calories"": 310.0}"
milk buttermilk fluid whole,3.21,3.31,4.88,62.0,"{""proteins"": 3.21, ""fats"": 3.31, ""carbohydrates"": 4.88, ""calories"": 62.0}"
yogurt vanilla flavor lowfat milk sweetened with low calorie sweetener,4.93,1.25,13.8,86.0,"{""proteins"": 4.93, ""fats"": 1.25, ""carbohydrates"": 13.8, ""calories"": 86.0}"
yogurt frozen flavors not chocolate nonfat milk with low-calorie sweetener,4.4,0.8,19.7,104.0,"{""proteins"": 4.4, ""fats"": 0.8, ""carbohydrates"": 19.7, ""calories"": 104.0}"
ice cream soft serve chocolate,4.1,13.0,22.2,222.0,"{""proteins"": 4.1, ""fats"": 13.0, ""carbohydrates"": 22.2, ""calories"": 222.0}"
ice cream bar or stick chocolate covered,4.1,24.1,24.5,331.0,"{""proteins"": 4.1, ""fats"": 24.1, ""carbohydrates"": 24.5, ""calories"": 331.0}"
ice cream sandwich,4.29,8.57,37.14,237.0,"{""proteins"": 4.29, ""fats"": 8.57, ""carbohydrates"": 37.14, ""calories"": 237.0}"
ice cream cookie sandwich,3.7,7.4,39.6,240.0,"{""proteins"": 3.7, ""fats"": 7.4, ""carbohydrates"": 39.6, ""calories"": 240.0}"
ice cream cone chocolate covered with nuts flavors other than chocolate,5.21,21.88,34.38,354.0,"{""proteins"": 5.21, ""fats"": 21.88, ""carbohydrates"": 34.38, ""calories"": 354.0}"
ice cream sandwich made with light ice cream vanilla,4.29,3.04,39.64,186.0,"{""proteins"": 4.29, ""fats"": 3.04, ""carbohydrates"": 39.64, ""calories"": 186.0}"
ice cream sandwich vanilla light no sugar added,5.71,2.86,42.86,200.0,"{""proteins"": 5.71, ""fats"": 2.86, ""carbohydrates"": 42.86, ""calories"": 200.0}"
fat free ice cream no sugar added flavors other than chocolate,4.41,0.0,27.94,129.0,"{""proteins"": 4.41, ""fats"": 0.0, ""carbohydrates"": 27.94, ""calories"": 129.0}"
milk dessert bar frozen made from lowfat milk,4.41,1.47,33.09,147.0,"{""proteins"": 4.41, ""fats"": 1.47, ""carbohydrates"": 33.09, ""calories"": 147.0}"
nutritional supplement for people with diabetes liquid,4.4,3.08,11.88,88.0,"{""proteins"": 4.4, ""fats"": 3.08, ""carbohydrates"": 11.88, ""calories"": 88.0}"
cheese mexican blend,23.54,28.51,1.75,358.0,"{""proteins"": 23.54, ""fats"": 28.51, ""carbohydrates"": 1.75, ""calories"": 358.0}"
cheese product pasteurized process american vitamin d fortified,17.12,23.11,8.8,312.0,"{""proteins"": 17.12, ""fats"": 23.11, ""carbohydrates"": 8.8, ""calories"": 312.0}"
cheese pasteurized process american without added vitamin d,18.13,31.79,3.7,371.0,"{""proteins"": 18.13, ""fats"": 31.79, ""carbohydrates"": 3.7, ""calories"": 371.0}"
cheese food pasteurized process american without added vitamin d,16.86,25.63,8.56,330.0,"{""proteins"": 16.86, ""fats"": 25.63, ""carbohydrates"": 8.56, ""calories"": 330.0}"
egg whole raw frozen salted pasteurized,10.97,10.07,0.83,138.0,"{""proteins"": 10.97, ""fats"": 10.07, ""carbohydrates"": 0.83, ""calories"": 138.0}"
yogurt greek plain nonfat,10.19,0.39,3.6,59.0,"{""proteins"": 10.19, ""fats"": 0.39, ""carbohydrates"": 3.6, ""calories"": 59.0}"
egg white dried stabilized glucose reduced,84.08,0.32,4.51,357.0,"{""proteins"": 84.08, ""fats"": 0.32, ""carbohydrates"": 4.51, ""calories"": 357.0}"
cheese spread american or cheddar cheese base reduced fat,13.41,8.88,10.71,176.0,"{""proteins"": 13.41, ""fats"": 8.88, ""carbohydrates"": 10.71, ""calories"": 176.0}"
cheese cheddar reduced fat,27.35,20.41,4.06,309.0,"{""proteins"": 27.35, ""fats"": 20.41, ""carbohydrates"": 4.06, ""calories"": 309.0}"
ice cream light soft serve chocolate,3.36,3.69,23.15,141.0,"{""proteins"": 3.36, ""fats"": 3.69, ""carbohydrates"": 23.15, ""calories"": 141.0}"
ice cream bar stick or nugget with crunch coating,2.11,25.26,37.12,358.0,"{""proteins"": 2.11, ""fats"": 25.26, ""carbohydrates"": 37.12, ""calories"": 358.0}"
cheese cheddar nonfat or fat free,32.14,0.0,7.14,157.0,"{""proteins"": 32.14, ""fats"": 0.0, ""carbohydrates"": 7.14, ""calories"": 157.0}"
cheese swiss nonfat or fat free,28.4,0.0,3.4,127.0,"{""proteins"": 28.4, ""fats"": 0.0, ""carbohydrates"": 3.4, ""calories"": 127.0}"
cheese mexican queso cotija,20.0,30.0,3.97,366.0,"{""proteins"": 20.0, ""fats"": 30.0, ""carbohydrates"": 3.97, ""calories"": 366.0}"
cheese cheddar sharp sliced,24.25,33.82,2.13,410.0,"{""proteins"": 24.25, ""fats"": 33.82, ""carbohydrates"": 2.13, ""calories"": 410.0}"
cheese mozzarella low moisture part-skim shredded,23.63,19.72,8.06,304.0,"{""proteins"": 23.63, ""fats"": 19.72, ""carbohydrates"": 8.06, ""calories"": 304.0}"
yogurt greek nonfat vanilla chobani,9.07,0.22,8.09,71.0,"{""proteins"": 9.07, ""fats"": 0.22, ""carbohydrates"": 8.09, ""calories"": 71.0}"
yogurt greek strawberry dannon oikos,8.25,2.92,11.67,106.0,"{""proteins"": 8.25, ""fats"": 2.92, ""carbohydrates"": 11.67, ""calories"": 106.0}"
yogurt greek nonfat vanilla dannon oikos,8.12,0.14,12.72,85.0,"{""proteins"": 8.12, ""fats"": 0.14, ""carbohydrates"": 12.72, ""calories"": 85.0}"
yogurt greek nonfat strawberry dannon oikos,8.03,0.22,12.53,84.0,"{""proteins"": 8.03, ""fats"": 0.22, ""carbohydrates"": 12.53, ""calories"": 84.0}"
yogurt greek nonfat strawberry chobani,8.03,0.12,11.62,80.0,"{""proteins"": 8.03, ""fats"": 0.12, ""carbohydrates"": 11.62, ""calories"": 80.0}"
yogurt greek strawberry lowfat,8.17,2.57,11.89,103.0,"{""proteins"": 8.17, ""fats"": 2.57, ""carbohydrates"": 11.89, ""calories"": 103.0}"
yogurt greek strawberry nonfat,8.05,0.15,12.07,82.0,"{""proteins"": 8.05, ""fats"": 0.15, ""carbohydrates"": 12.07, ""calories"": 82.0}"
yogurt greek vanilla nonfat,8.64,0.18,10.37,78.0,"{""proteins"": 8.64, ""fats"": 0.18, ""carbohydrates"": 10.37, ""calories"": 78.0}"
yogurt greek plain lowfat,9.95,1.92,3.94,73.0,"{""proteins"": 9.95, ""fats"": 1.92, ""carbohydrates"": 3.94, ""calories"": 73.0}"
kefir lowfat plain lifeway,3.79,0.93,4.48,41.0,"{""proteins"": 3.79, ""fats"": 0.93, ""carbohydrates"": 4.48, ""calories"": 41.0}"
kefir lowfat strawberry lifeway,3.39,0.9,10.2,62.0,"{""proteins"": 3.39, ""fats"": 0.9, ""carbohydrates"": 10.2, ""calories"": 62.0}"
milk evaporated 2% fat with added vitamin a and vitamin d,6.67,2.0,15.74,107.0,"{""proteins"": 6.67, ""fats"": 2.0, ""carbohydrates"": 15.74, ""calories"": 107.0}"
milk chocolate fat free with added vitamin a and vitamin d,3.39,0.0,13.46,67.0,"{""proteins"": 3.39, ""fats"": 0.0, ""carbohydrates"": 13.46, ""calories"": 67.0}"
yogurt greek plain whole milk,9.0,5.0,3.98,97.0,"{""proteins"": 9.0, ""fats"": 5.0, ""carbohydrates"": 3.98, ""calories"": 97.0}"
yogurt greek fruit whole milk,7.33,3.0,12.29,106.0,"{""proteins"": 7.33, ""fats"": 3.0, ""carbohydrates"": 12.29, ""calories"": 106.0}"
yogurt vanilla non-fat,2.94,0.0,17.04,78.0,"{""proteins"": 2.94, ""fats"": 0.0, ""carbohydrates"": 17.04, ""calories"": 78.0}"
yogurt greek vanilla lowfat,8.64,2.5,9.54,95.0,"{""proteins"": 8.64, ""fats"": 2.5, ""carbohydrates"": 9.54, ""calories"": 95.0}"
yogurt frozen flavors other than chocolate lowfat,8.0,2.5,21.0,139.0,"{""proteins"": 8.0, ""fats"": 2.5, ""carbohydrates"": 21.0, ""calories"": 139.0}"
ice cream bar covered with chocolate and nuts,5.62,25.84,11.89,303.0,"{""proteins"": 5.62, ""fats"": 25.84, ""carbohydrates"": 11.89, ""calories"": 303.0}"
ice cream sundae cone,3.0,14.0,28.89,254.0,"{""proteins"": 3.0, ""fats"": 14.0, ""carbohydrates"": 28.89, ""calories"": 254.0}"
light ice cream creamsicle,1.54,3.08,32.75,165.0,"{""proteins"": 1.54, ""fats"": 3.08, ""carbohydrates"": 32.75, ""calories"": 165.0}"
cream half and half lowfat,3.33,5.0,3.33,72.0,"{""proteins"": 3.33, ""fats"": 5.0, ""carbohydrates"": 3.33, ""calories"": 72.0}"
milk chocolate lowfat reduced sugar,3.43,1.04,7.68,54.0,"{""proteins"": 3.43, ""fats"": 1.04, ""carbohydrates"": 7.68, ""calories"": 54.0}"
ice cream lowfat no sugar added cone added peanuts and chocolate sauce,5.33,9.33,40.01,265.0,"{""proteins"": 5.33, ""fats"": 9.33, ""carbohydrates"": 40.01, ""calories"": 265.0}"
spices allspice ground,6.09,8.69,72.12,263.0,"{""proteins"": 6.09, ""fats"": 8.69, ""carbohydrates"": 72.12, ""calories"": 263.0}"
spices anise seed,17.6,15.9,50.02,337.0,"{""proteins"": 17.6, ""fats"": 15.9, ""carbohydrates"": 50.02, ""calories"": 337.0}"
spices basil dried,22.98,4.07,47.75,233.0,"{""proteins"": 22.98, ""fats"": 4.07, ""carbohydrates"": 47.75, ""calories"": 233.0}"
spices bay leaf,7.61,8.36,74.97,313.0,"{""proteins"": 7.61, ""fats"": 8.36, ""carbohydrates"": 74.97, ""calories"": 313.0}"
spices caraway seed,19.77,14.59,49.9,333.0,"{""proteins"": 19.77, ""fats"": 14.59, ""carbohydrates"": 49.9, ""calories"": 333.0}"
spices cardamom,10.76,6.7,68.47,311.0,"{""proteins"": 10.76, ""fats"": 6.7, ""carbohydrates"": 68.47, ""calories"": 311.0}"
spices celery seed,18.07,25.27,41.35,392.0,"{""proteins"": 18.07, ""fats"": 25.27, ""carbohydrates"": 41.35, ""calories"": 392.0}"
spices chervil dried,23.2,3.9,49.1,237.0,"{""proteins"": 23.2, ""fats"": 3.9, ""carbohydrates"": 49.1, ""calories"": 237.0}"
spices chili powder,13.46,14.28,49.7,282.0,"{""proteins"": 13.46, ""fats"": 14.28, ""carbohydrates"": 49.7, ""calories"": 282.0}"
spices cinnamon ground,3.99,1.24,80.59,247.0,"{""proteins"": 3.99, ""fats"": 1.24, ""carbohydrates"": 80.59, ""calories"": 247.0}"
spices cloves ground,5.97,13.0,65.53,274.0,"{""proteins"": 5.97, ""fats"": 13.0, ""carbohydrates"": 65.53, ""calories"": 274.0}"
spices coriander leaf dried,21.93,4.78,52.1,279.0,"{""proteins"": 21.93, ""fats"": 4.78, ""carbohydrates"": 52.1, ""calories"": 279.0}"
spices coriander seed,12.37,17.77,54.99,298.0,"{""proteins"": 12.37, ""fats"": 17.77, ""carbohydrates"": 54.99, ""calories"": 298.0}"
spices cumin seed,17.81,22.27,44.24,375.0,"{""proteins"": 17.81, ""fats"": 22.27, ""carbohydrates"": 44.24, ""calories"": 375.0}"
spices curry powder,14.29,14.01,55.83,325.0,"{""proteins"": 14.29, ""fats"": 14.01, ""carbohydrates"": 55.83, ""calories"": 325.0}"
spices dill seed,15.98,14.54,55.17,305.0,"{""proteins"": 15.98, ""fats"": 14.54, ""carbohydrates"": 55.17, ""calories"": 305.0}"
spices dill weed dried,19.96,4.36,55.82,253.0,"{""proteins"": 19.96, ""fats"": 4.36, ""carbohydrates"": 55.82, ""calories"": 253.0}"
spices fennel seed,15.8,14.87,52.29,345.0,"{""proteins"": 15.8, ""fats"": 14.87, ""carbohydrates"": 52.29, ""calories"": 345.0}"
spices fenugreek seed,23.0,6.41,58.35,323.0,"{""proteins"": 23.0, ""fats"": 6.41, ""carbohydrates"": 58.35, ""calories"": 323.0}"
spices garlic powder,16.55,0.73,72.73,331.0,"{""proteins"": 16.55, ""fats"": 0.73, ""carbohydrates"": 72.73, ""calories"": 331.0}"
spices ginger ground,8.98,4.24,71.62,335.0,"{""proteins"": 8.98, ""fats"": 4.24, ""carbohydrates"": 71.62, ""calories"": 335.0}"
spices mace ground,6.71,32.38,50.5,475.0,"{""proteins"": 6.71, ""fats"": 32.38, ""carbohydrates"": 50.5, ""calories"": 475.0}"
spices marjoram dried,12.66,7.04,60.56,271.0,"{""proteins"": 12.66, ""fats"": 7.04, ""carbohydrates"": 60.56, ""calories"": 271.0}"
spices mustard seed ground,26.08,36.24,28.09,508.0,"{""proteins"": 26.08, ""fats"": 36.24, ""carbohydrates"": 28.09, ""calories"": 508.0}"
spices nutmeg ground,5.84,36.31,49.29,525.0,"{""proteins"": 5.84, ""fats"": 36.31, ""carbohydrates"": 49.29, ""calories"": 525.0}"
spices onion powder,10.41,1.04,79.12,341.0,"{""proteins"": 10.41, ""fats"": 1.04, ""carbohydrates"": 79.12, ""calories"": 341.0}"
spices oregano dried,9.0,4.28,68.92,265.0,"{""proteins"": 9.0, ""fats"": 4.28, ""carbohydrates"": 68.92, ""calories"": 265.0}"
spices paprika,14.14,12.89,53.99,282.0,"{""proteins"": 14.14, ""fats"": 12.89, ""carbohydrates"": 53.99, ""calories"": 282.0}"
spices parsley dried,26.63,5.48,50.64,292.0,"{""proteins"": 26.63, ""fats"": 5.48, ""carbohydrates"": 50.64, ""calories"": 292.0}"
spices pepper black,10.39,3.26,63.95,251.0,"{""proteins"": 10.39, ""fats"": 3.26, ""carbohydrates"": 63.95, ""calories"": 251.0}"
spices pepper red or cayenne,12.01,17.27,56.63,318.0,"{""proteins"": 12.01, ""fats"": 17.27, ""carbohydrates"": 56.63, ""calories"": 318.0}"
spices pepper white,10.4,2.12,68.61,296.0,"{""proteins"": 10.4, ""fats"": 2.12, ""carbohydrates"": 68.61, ""calories"": 296.0}"
spices poppy seed,17.99,41.56,28.13,525.0,"{""proteins"": 17.99, ""fats"": 41.56, ""carbohydrates"": 28.13, ""calories"": 525.0}"
spices poultry seasoning,9.59,7.53,65.59,307.0,"{""proteins"": 9.59, ""fats"": 7.53, ""carbohydrates"": 65.59, ""calories"": 307.0}"
spices pumpkin pie spice,5.76,12.6,69.28,342.0,"{""proteins"": 5.76, ""fats"": 12.6, ""carbohydrates"": 69.28, ""calories"": 342.0}"
spices rosemary dried,4.88,15.22,64.06,331.0,"{""proteins"": 4.88, ""fats"": 15.22, ""carbohydrates"": 64.06, ""calories"": 331.0}"
spices saffron,11.43,5.85,65.37,310.0,"{""proteins"": 11.43, ""fats"": 5.85, ""carbohydrates"": 65.37, ""calories"": 310.0}"
spices sage ground,10.63,12.75,60.73,315.0,"{""proteins"": 10.63, ""fats"": 12.75, ""carbohydrates"": 60.73, ""calories"": 315.0}"
spices savory ground,6.73,5.91,68.73,272.0,"{""proteins"": 6.73, ""fats"": 5.91, ""carbohydrates"": 68.73, ""calories"": 272.0}"
spices tarragon dried,22.77,7.24,50.22,295.0,"{""proteins"": 22.77, ""fats"": 7.24, ""carbohydrates"": 50.22, ""calories"": 295.0}"
spices thyme dried,9.11,7.43,63.94,276.0,"{""proteins"": 9.11, ""fats"": 7.43, ""carbohydrates"": 63.94, ""calories"": 276.0}"
spices turmeric ground,9.68,3.25,67.14,312.0,"{""proteins"": 9.68, ""fats"": 3.25, ""carbohydrates"": 67.14, ""calories"": 312.0}"
basil fresh,3.15,0.64,2.65,23.0,"{""proteins"": 3.15, ""fats"": 0.64, ""carbohydrates"": 2.65, ""calories"": 23.0}"
dill weed fresh,3.46,1.12,7.02,43.0,"{""proteins"": 3.46, ""fats"": 1.12, ""carbohydrates"": 7.02, ""calories"": 43.0}"
mustard prepared yellow,3.74,3.34,5.83,60.0,"{""proteins"": 3.74, ""fats"": 3.34, ""carbohydrates"": 5.83, ""calories"": 60.0}"
salt table,0.0,0.0,0.0,0.0,"{""proteins"": 0.0, ""fats"": 0.0, ""carbohydrates"": 0.0, ""calories"": 0.0}"
vinegar cider,0.0,0.0,0.93,21.0,"{""proteins"": 0.0, ""fats"": 0.0, ""carbohydrates"": 0.93, ""calories"": 21.0}"
thyme fresh,5.56,1.68,24.45,101.0,"{""proteins"": 5.56, ""fats"": 1.68, ""carbohydrates"": 24.45, ""calories"": 101.0}"
vanilla extract,0.06,0.06,12.65,288.0,"{""proteins"": 0.06, ""fats"": 0.06, ""carbohydrates"": 12.65, ""calories"": 288.0}"
vanilla extract imitation alcohol,0.05,0.0,2.41,237.0,"{""proteins"": 0.05, ""fats"": 0.0, ""carbohydrates"": 2.41, ""calories"": 237.0}"
vanilla extract imitation no alcohol,0.03,0.0,14.4,56.0,"{""proteins"": 0.03, ""fats"": 0.0, ""carbohydrates"": 14.4, ""calories"": 56.0}"
vinegar distilled,0.0,0.0,0.04,18.0,"{""proteins"": 0.0, ""fats"": 0.0, ""carbohydrates"": 0.04, ""calories"": 18.0}"
capers canned,2.36,0.86,4.89,23.0,"{""proteins"": 2.36, ""fats"": 0.86, ""carbohydrates"": 4.89, ""calories"": 23.0}"
horseradish prepared,1.18,0.69,11.29,48.0,"{""proteins"": 1.18, ""fats"": 0.69, ""carbohydrates"": 11.29, ""calories"": 48.0}"
rosemary fresh,3.31,5.86,20.7,131.0,"{""proteins"": 3.31, ""fats"": 5.86, ""carbohydrates"": 20.7, ""calories"": 131.0}"
peppermint fresh,3.75,0.94,14.89,70.0,"{""proteins"": 3.75, ""fats"": 0.94, ""carbohydrates"": 14.89, ""calories"": 70.0}"
spearmint fresh,3.29,0.73,8.41,44.0,"{""proteins"": 3.29, ""fats"": 0.73, ""carbohydrates"": 8.41, ""calories"": 44.0}"
spearmint dried,19.93,6.03,52.04,285.0,"{""proteins"": 19.93, ""fats"": 6.03, ""carbohydrates"": 52.04, ""calories"": 285.0}"
vinegar red wine,0.04,0.0,0.27,19.0,"{""proteins"": 0.04, ""fats"": 0.0, ""carbohydrates"": 0.27, ""calories"": 19.0}"
vinegar balsamic,0.49,0.0,17.03,88.0,"{""proteins"": 0.49, ""fats"": 0.0, ""carbohydrates"": 17.03, ""calories"": 88.0}"
pace dry taco seasoning mix,0.0,0.0,56.29,188.0,"{""proteins"": 0.0, ""fats"": 0.0, ""carbohydrates"": 56.29, ""calories"": 188.0}"
seasoning mix dry sazon coriander & annatto,0.0,0.0,0.0,0.0,"{""proteins"": 0.0, ""fats"": 0.0, ""carbohydrates"": 0.0, ""calories"": 0.0}"
seasoning mix dry taco original,4.5,0.0,58.0,322.0,"{""proteins"": 4.5, ""fats"": 0.0, ""carbohydrates"": 58.0, ""calories"": 322.0}"
seasoning mix dry chili original,10.82,7.3,56.56,335.0,"{""proteins"": 10.82, ""fats"": 7.3, ""carbohydrates"": 56.56, ""calories"": 335.0}"
clif z bar,5.55,9.72,74.72,409.0,"{""proteins"": 5.55, ""fats"": 9.72, ""carbohydrates"": 74.72, ""calories"": 409.0}"
babyfood juice treats fruit medley toddler,0.0,0.02,86.68,347.0,"{""proteins"": 0.0, ""fats"": 0.02, ""carbohydrates"": 86.68, ""calories"": 347.0}"
babyfood meat beef strained,12.03,2.52,2.43,81.0,"{""proteins"": 12.03, ""fats"": 2.52, ""carbohydrates"": 2.43, ""calories"": 81.0}"
